	AI_Prov_Name	File_Date	File_Count	Group_Count	Ethnicity	IEP	LEP	Gender	Ven_Stud_ID	Grade	Stud_Test_ID	Score_Flag	Item_ID	Item_Response	Final_Score	Data_Point	Read1_Date	Read1_ID	Read1_Score	Read1_Cond	Read2_Date	Read2_ID	Read2_Score	Read2_Cond	Read3_Date	Read3_ID	Read3_Score	Read3_Cond	Read5_Date	Read5_ID	Read5_Score	Read5_Cond	Alert_Code	Alert_ReaderID
0	AI-XC	20131119122054	500	500	B			F	707877	11	10587304	Y	49790	how much bacteria in days after																				
1	AI-XC	20131119122054	500	500	B			F	708123	11	10587313	Y	49790	Antibiotic added.																				
2	AI-XC	20131119122054	500	500	W	N	N	M	715413	11	10587319	Y	49790	variable																				
3	AI-XC	20131119122054	500	500	W	N	N	M	715414	11	10587373	Y	49790	the number N represents the starting amount of bacteria																				
4	AI-XC	20131119122054	500	500	W	N	N	M	715847	11	10587379	Y	49790	bacteria																				
5	AI-XC	20131119122054	500	500	B	N	N	M	717220	11	10587424	Y	49790	z																				
6	AI-XC	20131119122054	500	500	W	N	N	F	717440	11	10587429	Y	49790	N equals the rate																				
7	AI-XC	20131119122054	500	500	NR			F	717978	11	10587434	Y	49790	the bacteria																				
8	AI-XC	20131119122054	500	500	NR			M	718021	11	10587469	Y	49790	number																				
9	AI-XC	20131119122054	500	500	B			M	718295	11	10587478	Y	49790	number																				
10	AI-XC	20131119122054	500	500	NR			F	718908	11	10587524	Y	49790	Rate																				
11	AI-XC	20131119122054	500	500	NR			M	718923	11	10587528	Y	49790	N=rate																				
12	AI-XC	20131119122054	500	500	W	N		F	719449	11	10587534	Y	49790	Rate																				
13	AI-XC	20131119122054	500	500	W	N		F	719747	11	10587582	Y	49790	How many bacteria is started out in it.																				
14	AI-XC	20131119122054	500	500	W	N		M	720006	11	10587585	Y	49790	rate that it multiplies.																				
15	AI-XC	20131119122054	500	500	B			F	720126	11	10587588	Y	49790	NUMBER OF POPULATION																				
16	AI-XC	20131119122054	500	500	H	N		M	720176	11	10587590	Y	49790	starting number																				
17	AI-XC	20131119122054	500	500	W	N		F	721277	11	10587593	Y	49790	If P represents the bacteria population, and T is the time, represented in days, N must be a variable, which is however many the certain bacteria multiplies.																				
18	AI-XC	20131119122054	500	500	W	N	N	M	721904	11	10587596	Y	49790	The missing number																				
19	AI-XC	20131119122054	500	500	W	N	N	F	723537	11	10587599	Y	49790	A constant that is specific to that equation																				
20	AI-XC	20131119122054	500	500	A	N	N	F	723759	11	10587647	Y	49790	N represents the number of the bacteria that is being multiplied.																				
21	AI-XC	20131119122054	500	500	W	N	N	M	723762	11	10587653	Y	49790	N represents the antibiotic																				
22	AI-XC	20131119122054	500	500	W	N	N	M	723763	11	10587691	Y	49790	the rate																				
23	AI-XC	20131119122054	500	500	W			F	727290	11	10587741	Y	49790	The number of bacteria you start with.																				
24	AI-XC	20131119122054	500	500	NR			F	727392	11	10587743	Y	49790	N represents the antibiotic																				
25	AI-XC	20131119122054	500	500	B	N	N	F	728207	11	10587746	Y	49790	(1.1)																				
26	AI-XC	20131119122054	500	500	H	N	Y	M	728612	11	10587751	Y	49790	1.1																				
27	AI-XC	20131119122054	500	500	NR			M	729383	11	10587757	Y	49790	rate																				
28	AI-XC	20131119122054	500	500	H			F	730486	11	10587802	Y	49790	The number of rate																				
29	AI-XC	20131119122054	500	500	W	N	N	M	730601	11	10587805	Y	49790	the initial bacteria population																				
30	AI-XC	20131119122054	500	500	2	N	N	F	731074	11	10587810	Y	49790	number of bacteria																				
31	AI-XC	20131119122054	500	500	W	N	N	F	731075	11	10587815	Y	49790	the rate bacteria multiplies by																				
32	AI-XC	20131119122054	500	500	NR			M	731301	11	10587863	Y	49790	number																				
33	AI-XC	20131119122054	500	500	W	N	N	F	732623	11	10587868	Y	49790	number																				
34	AI-XC	20131119122054	500	500	W	N	N	M	734973	11	10587872	Y	49790	bacteria																				
35	AI-XC	20131119122054	500	500	W	N	N	M	734974	11	10587878	Y	49790	N represents the rate at which a certain bacteria multiplies.																				
36	AI-XC	20131119122054	500	500	A	N	N	M	735614	11	10587930	Y	49790	N represents the amount of bacteria.																				
37	AI-XC	20131119122054	500	500	H			M	736046	11	10587936	Y	49790	amount of antibiotic																				
38	AI-XC	20131119122054	500	500	NR	N		F	736341	11	10587985	Y	49790	initial number of bacteria																				
39	AI-XC	20131119122054	500	500	H	N	Y	M	737314	11	10587989	Y	49790	N represents how fast its mutiplying																				
40	AI-XC	20131119122054	500	500	W	N	N	M	737315	11	10588033	Y	49790	The temperature																				
41	AI-XC	20131119122054	500	500	H	N	N	M	737319	11	10588040	Y	49790	n represents the rate of bacteria growth																				
42	AI-XC	20131119122054	500	500	W	N	N	F	737361	11	10588087	Y	49790	antibiotic																				
43	AI-XC	20131119122054	500	500	W	N	N	M	737369	11	10588092	Y	49790	N represents the original amount of bacteria that was given at the beginning of the study. P(t) will be divided by the N that was originally there.																				
44	AI-XC	20131119122054	500	500	W			F	737565	11	10588097	Y	49790	the original amount of bacteria																				
45	AI-XC	20131119122054	500	500	A	N	Y	M	738111	11	10588148	Y	49790	I don't know. Thanks.																				
46	AI-XC	20131119122054	500	500	A	N	Y	F	738121	11	10588160	Y	49790	The type of bacteria11																				
47	AI-XC	20131119122054	500	500	W	N	N	M	738875	11	10588222	Y	49790	how many backteria on day 1.																				
