	AI_Prov_Name	File_Date	File_Count	Group_Count	Ethnicity	IEP	LEP	Gender	Ven_Stud_ID	Grade	Stud_Test_ID	Score_Flag	Item_ID	Item_Response	Final_Score	Data_Point	Read1_Date	Read1_ID	Read1_Score	Read1_Cond	Read2_Date	Read2_ID	Read2_Score	Read2_Cond	Read3_Date	Read3_ID	Read3_Score	Read3_Cond	Read5_Date	Read5_ID	Read5_Score	Read5_Cond	Alert_Code	Alert_ReaderID
0	AI-XC	20131119122107	1000	1000	A	N	N	M	361255	8	10628167	Y	46517	"The word ""insisted"" reveals that Millicent is kind of scared and nervous about high school.  ""On my first day of high school, my grandparents, parents, and the press insisted on tagging along"""																				
1	AI-XC	20131119122107	1000	1000	H	N	Y	M	361271	8	10628168	Y	46517	insisted means to do it right away. to do something you want to do very quick.																				
2	AI-XC	20131119122107	1000	1000	H	N	N	F	361286	8	10628169	Y	46517	She wanted to be a big girl and go to school by herself but they wanted to go with her and make sure she was okay. Millicent didn' t want them to come but they did anyways.																				
3	AI-XC	20131119122107	1000	1000	W	Y	N	M	361433	8	10628170	Y	46517	she didnt want them too but they wanter to so they did																				
4	AI-XC	20131119122107	1000	1000	NR	N	Y	M	361456	8	10628171	Y	46517	that she is inteligent																				
5	AI-XC	20131119122107	1000	1000	H	N	Y	F	361694	8	10628172	Y	46517	She didn't want to stand out, and having all those other people around her was really awkward. Even though she had no choice but to let them come, she had them walk four paces behind her. She was probably hoping people would think that they weren't with Millicent.																				
6	AI-XC	20131119122107	1000	1000	NR			F	361740	8	10628173	Y	46517	They thought that they had to go along, even though she had asked them not to.																				
7	AI-XC	20131119122107	1000	1000	NR			M	361816	8	10628174	Y	46517	She has a weak state of mind and caves in easy.																				
8	AI-XC	20131119122107	1000	1000	H			M	361887	8	10628175	Y	46517	the word insisted means they begged to come along																				
9	AI-XC	20131119122107	1000	1000	NR			F	362034	8	10628176	Y	46517	"Insisted means they would not give up, and demanded to come along. ""I made them walk four paces behind me."""																				
10	AI-XC	20131119122107	1000	1000	H	N	N	M	362100	8	10628177	Y	46517	she doesnt want them to go because its her first day of high school																				
11	AI-XC	20131119122107	1000	1000	W	N	N	M	362131	8	10628178	Y	46517	They dident want to tag along.																				
12	AI-XC	20131119122107	1000	1000	H	Y	Y	F	362173	8	10628179	Y	46517	Millicent had to go to a high school he didnt want to go but he had to go for the best.																				
13	AI-XC	20131119122107	1000	1000	A	N	N	F	362199	8	10628180	Y	46517	Her grandparents wanted to go with her to class. She was shy and she didn't know waht to do.																				
14	AI-XC	20131119122107	1000	1000	W	N	N	M	362210	8	10628181	Y	46517	"Millicent's use of the word ""insisted"" means that Millicent did want them to come with her."																				
15	AI-XC	20131119122107	1000	1000	B	N	N	M	362267	8	10628182	Y	46517	The word insisted was used in a way of them joining in without permission.																				
16	AI-XC	20131119122107	1000	1000	H	N	N	F	362341	8	10628183	Y	46517	Millicent probably didn't want to go but since her grandparennts insited she dint not want to be rude by not going.																				
17	AI-XC	20131119122107	1000	1000	W	N	N	F	362375	8	10628184	Y	46517	Starting high school, Millicent felt that she was independent enough to go alone but her family came along anyways.																				
18	AI-XC	20131119122107	1000	1000	W	N	Y	M	362511	8	10628185	Y	46517	it means they came with her to school																				
19	AI-XC	20131119122107	1000	1000	H	N	N	F	362513	8	10628186	Y	46517	The word 'insisted' means her grandparents, parants, and the press are very impresed on how an eight year old  elementary short girl is now almost graduating from high school. Millicent describes how they are always following her and that even she came out in the news.																				
20	AI-XC	20131119122107	1000	1000	H	N	N	M	362519	8	10628187	Y	46517	"By using ""insisted"", it shows that she is fiercely independent and belives she can handle high school."																				
21	AI-XC	20131119122107	1000	1000	NR			F	362914	8	10628188	Y	46517	Well since she was the new student and different her parents wanted to be able to see her first day of high school.																				
22	AI-XC	20131119122107	1000	1000	W	N	N	F	363151	8	10628189	Y	46517	Millicent is very excited to begin high school although her family is very nervous. In the recording it tells how her whole family wants to tag along to make sure she's okay but Millicent doesn't see the need for it. She is not nervous about entering the highschool at all.																				
23	AI-XC	20131119122107	1000	1000	W	N	N	F	363201	8	10628190	Y	46517	"The fact that she used the term ""insisted"" when refering to when everyone decided to tag along when she first started highschool shows that she did not want them there because she did not want to stand out, She did not want to draw attention to herself when entering highschool. At first she thought they would just just make it worse, but then she realised that having them around to help her get through it would not be so bad after all. Especially her grandmother. With her grandmother-Maddie- around she just might make it through highschool."																				
24	AI-XC	20131119122107	1000	1000	NR			F	363231	8	10628191	Y	46517	Millicent is nervouse and feels that she needs some help for her first day.She is also scared and embarrassed of her height and family.																				
25	AI-XC	20131119122107	1000	1000	B	N	N	F	363255	8	10628192	Y	46517	He did not really want to go.																				
26	AI-XC	20131119122107	1000	1000	NR			M	363504	8	10628193	Y	46517	She didnt want any one to embarass her.																				
27	AI-XC	20131119122107	1000	1000	H			F	364281	8	10628194	Y	46517	I say that she didn't want to them to come along because they might end up embarrasing her or even or class mates might say something about her have to walk around with her parents.																				
28	AI-XC	20131119122107	1000	1000	W	Y	N	F	364709	8	10628195	Y	46517	The word means that they wantede to go with t hey would go with.																				
29	AI-XC	20131119122107	1000	1000	H			F	364735	8	10628196	Y	46517	Millicent was confident about starting highschool, she didn't feel like she needed a chaperone to go to school, however, her parents were worried, so they would send her grandmother Maddie to walk Millicent to first period french class. Millicent was a little bit embarassed by this, but for the most part she appreciated the company.																				
30	AI-XC	20131119122107	1000	1000	W	N	N	M	364765	8	10628197	Y	46517	It seems Millicent wanted to sart alone but her family and the press felt the need to go with her.																				
31	AI-XC	20131119122107	1000	1000	B	N	N	F	364910	8	10628198	Y	46517	Her family thinks that she wouldn't be able to handle high school and if she had someone watching over her and taking care of her, she would do just until she got the hang of it. For example, Maddie walks her to her first period class, French.																				
32	AI-XC	20131119122107	1000	1000	W	N	N	M	365024	8	10628199	Y	46517	Millicent state of mind about starting highschool was she was scared. Her parents might not have insisted to come, maybe Millicent insisted that they come.																				
33	AI-XC	20131119122107	1000	1000	NR			F	365399	8	10628200	Y	46517	I think that it means that she didn't want them to put they just kept asking until she gave in and said yes.																				
34	AI-XC	20131119122107	1000	1000	B	N	N	M	365636	8	10628201	Y	46517	that she was standing back of her gramom and was she srcay but she like the high school																				
35	AI-XC	20131119122107	1000	1000	B	N	N	M	365677	8	10628202	Y	46517	they wanted to come along but she didnt really want them too.																				
36	AI-XC	20131119122107	1000	1000	NR			F	365959	8	10628203	Y	46517	on the first day of school my grandparents were embarrassing the  me !!!																				
