"X","AI_Prov_Name","File_Date","File_Count","Group_Count","Ethnicity","IEP","LEP","Gender","Ven_Stud_ID","Grade","Stud_Test_ID","Score_Flag","Item_ID","Item_Response","Final_Score","Data_Point","Read1_Date","Read1_ID","Read1_Score","Read1_Cond","Read2_Date","Read2_ID","Read2_Score","Read2_Cond","Read3_Date","Read3_ID","Read3_Score","Read3_Cond","Read5_Date","Read5_ID","Read5_Score","Read5_Cond","Alert_Code","Alert_ReaderID","prediction"
0,"AI-XC",20131119122116,1000,1000,"W","N","N","M",381403,8,10638667,"Y",53040,"there were 12,000 bridges made of stone and houses made of stone and wood.   the city dwelled on a lake.   each house had a bath and that total came to 3,000 baths in total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14067102147847
1,"AI-XC",20131119122116,1000,1000,"W","N","N","M",381427,8,10638668,"Y",53040,"seeing all of that interesting thing and beautiful stuff he want to learn more about all of it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0800160628254198
2,"AI-XC",20131119122116,1000,1000,"I","N","N","F",381467,8,10638669,"Y",53040,"""""""Churches in this new style featured pointed arches, thinner columns, and tall windows that flooded the interior with light."""" """"Roofs appeared to be floating and were supported by coloumns instead of walls."""" """" In the middle of the Lake are two islands, on each which standas a rich, beautiful and spacious edifice, furnished in such style as to seem fit for the palace of an Emperor.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39021272657687
3,"AI-XC",20131119122116,1000,1000,"B","N","N","F",381657,8,10638670,"Y",53040,"he was a man who was well know around china",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,"AI-XC",20131119122116,1000,1000,"W","N","","M",381834,8,10638671,"Y",53040,"n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5,"AI-XC",20131119122116,1000,1000,"B","N","N","M",381856,8,10638672,"Y",53040,"This is a website that is explaining that if you want to look further in on that you can use that website.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128678039875175
6,"AI-XC",20131119122116,1000,1000,"B","Y","N","M",381863,8,10638673,"Y",53040,"And all around it are erected beautiful palaces and mansions of the richest and most exquisite structure that you can imagine belonging to the nobles of the city.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06224768635458
7,"AI-XC",20131119122116,1000,1000,"W","N","N","M",382100,8,10638674,"Y",53040,"genoa, mongal empire,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00191691404349075
8,"AI-XC",20131119122116,1000,1000,"NR","","","M",382130,8,10638675,"Y",53040,"The Tang dynasty the emperor's buildings were yellow. The Yuan dynasty including the reige of Kublai Khan. pagodas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641076418869792
9,"AI-XC",20131119122116,1000,1000,"NR","","","M",382141,8,10638676,"Y",53040,"The buildings and structures he visited were so amazing that it was fit for a king. They were so beautiful that it made you want to live there. Their food is really good and their culture is so intresting how they tell it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120454783083998
